InstAddress		Total_Execution	Total_Cycles	Instruction
90007664		42160               	8853600             	LD    R17, R9
90007666		42160               	337280              	MULC  4, R9
90007668		42160               	126480              	ADD   R9, R11
9000766a		42160               	421600              	LD    R11, R11
9000766c		42160               	168640              	ADDX  R28, R9, 0x200
90007670		42160               	126480              	ADD   R10, R9
90007672		42160               	421600              	LD    R9, R10
90007674		42160               	421600              	FMUL  R10, R11
90007676		42160               	126480              	MOV   R8, R10
90007678		42160               	337280              	FSUB  R11, R10
9000767a		42160               	8895760             	LDX   R1, R11, 0xfffc
9000767e		42160               	337280              	ST    R11, R10
90007680		42160               	168640              	ADDX  R22, R22, 0x1
90007684		42656               	170624              	COMP  R30, R22, 0x80
90007688		42656               	465744              	JMP   R31, JL, 0x00006bfa
9000768e		496                 	1984                	ADDX  R21, R21, 0x1
90007692		528                 	2112                	COMP  R30, R21, 0x20
90007696		528                 	6112                	JMP   R31, JL, 0x00006bee
9000769c		32                  	6752                	LD    --R0, R22
9000769e		32                  	6752                	LD    --R0, R21
900076a0		32                  	96                  	MOV   R17, R1
900076a2		32                  	6752                	LD    --R0, R17
900076a4		32                  	6752                	LD    --R0, R16
900076a6		32                  	352                 	JMP   R16, JMP
900076a8		32                  	288                 	ST    R0++, R16
900076aa		32                  	288                 	ST    R0++, R17
900076ac		32                  	96                  	MOV   R1, R17
900076ae		32                  	128                 	ADD   R30, R1, 0x1c
900076b2		32                  	288                 	STX   R17, R2, 0x0
900076b6		32                  	288                 	STX   R17, R3, 0xfffc
900076ba		32                  	384                 	JSR   R31, JMP, 0x00006b02
900076c0		32                  	6720                	LD    R17, R2
900076c2		32                  	384                 	JSR   R31, JMP, 0x00006b30
900076c8		32                  	6720                	LD    R17, R2
900076ca		32                  	384                 	JSR   R31, JMP, 0x00006bbe
900076d0		32                  	6752                	LDX   R17, R2, 0xfffc
900076d4		32                  	416                 	JSR   R31, JMP, 0x00006ae2
900076da		32                  	96                  	MOV   R17, R1
